DATA Act Element,SF-133 Line Number,SF-133 Sub-Line Number,USSGL Acct. (via USSGL Crosswalk File),USSGL Account Title,Begin/End,Debit/ Credit,Reimb Flag,Apport Cat,Auth Type Code,Avail Time,BEA Cat,Borrow Source,Fed/NonFed,Year of BA,PY Adj,Reduction Type,TAS Status,Trans. Code,Fund Type,Financing Account Code,Debit,Credit,Addl. Info.
52 - Amount of Budget Authority Appropriated,1900,1300,414300,Current-Year Decreases to Indefinite Borrowing Authority Realized,E,D/C,,,,,D,P/T,,,X,,U,X/K/N,EC/EG/EM/EP/ER/ES/ET/TR,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1400,414300,Current-Year Decreases to Indefinite Borrowing Authority Realized,E,D/C,,,,,M,F/P/T,,,X,,U,X/K/N,EC/EG/EM/EP/ER/ES/ET/TR,D/G/N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1135,414600,"Actual Repayments of Debt, Current-Year Authority",E,D/C,,,P,,D,,,,X,,U,X/K/N,EC/EG/EM/EP/ER/ES/ET/TR,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1236,414600,"Actual Repayments of Debt, Current-Year Authority",E,D/C,,,P,,M,,,,X,,U,X/K/N,EC/EG/EM/EP/ER/ES/ET/TR,D/G/N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1422,414600,"Actual Repayments of Debt, Current-Year Authority",E,D/C,,,B,,M,,,,X,,U,X/K/N,EP/ET,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1422,414600,"Actual Repayments of Debt, Current-Year Authority",E,D/C,,,B,,M,,,,X,,U,X/K/N,ER,D,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1726,414600,"Actual Repayments of Debt, Current-Year Authority",E,D/C,,,S,,D,,,,X,,U,X/K/N,EC/EG/EM/EP/ER/ES/ET/TR,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1825,414600,"Actual Repayments of Debt, Current-Year Authority",E,D/C,,,S,,M,,,,X,,U,X/K/N,EC/EG/EM/EP/ER/ES/ET/TR,D/G/N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1105,415000,Reappropriations - Transfers-In,E,D/C,,,,,D,,,,X,,U,X/K/N,EC/EG/EM/EP/ER/ES/ET/TR,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1204,415000,Reappropriations - Transfers-In,E,D/C,,,,,M,,,,X,,U,X/K/N,EC/EG/EM/EP/ER/ES/ET/TR,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1235,415100,"Actual Capital Transfers to the General Fund of the Treasury, Current-Year Authority",E,D/C,,,P,,M,,,,X,,U,X/K/N,ES,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1720,415100,"Actual Capital Transfers to the General Fund of the Treasury, Current-Year Authority",E,D/C,,,S,,D,,,,X,,U,X/K/N,EC/EG/EM/EP/ER/ES/ET/TR,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1820,415100,"Actual Capital Transfers to the General Fund of the Treasury, Current-Year Authority",E,D/C,,,S,,M,,,,X,,U,X/K/N,EC/EG/EM/EP/ER/ES/ET/TR,D/G/N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1610,415300,Transfers of Contract Authority - Nonallocation,B,C,,,,,,,F,NEW,X,,U,X/K/N,ET,N,-,#ERROR!,1
52 - Amount of Budget Authority Appropriated,1900,1611,415300,Transfers of Contract Authority - Nonallocation,B,D,,,,,,,F,NEW,X,,U,X/K/N,ET,N,-,#ERROR!,1
52 - Amount of Budget Authority Appropriated,1900,1610,415300,Transfers of Contract Authority - Nonallocation,E,C,,,,,,,F,NEW,X,,U,X/K/N,ET,N,#ERROR!,-,1
52 - Amount of Budget Authority Appropriated,1900,1611,415300,Transfers of Contract Authority - Nonallocation,E,D,,,,,,,F,NEW,X,,U,X/K/N,ET,N,#ERROR!,-,1
52 - Amount of Budget Authority Appropriated,1900,1137,415400,Appropriation To Liquidate Contract Authority - Nonallocation - Transferred,E,D/C,,,,,,,,,X,,U,X/K/N,ET,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1137,415500,Appropriation To Liquidate Contract Authority - Allocation - Transferred,E,D/C,,,,,,,,,X,,U,X/K/N,ET,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1200,415700,Authority Made Available From Receipt or Appropriation Balances Previously Precluded From Obligation,E,D/C,,,P,,,,,,X,,U,X/K/N,EG,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1203,415700,Authority Made Available From Receipt or Appropriation Balances Previously Precluded From Obligation,E,D/C,,,P,,,,,,X,,U,X/K/N,ES/ET,N,#ERROR!,-,2
52 - Amount of Budget Authority Appropriated,1900,1603,415700,Authority Made Available From Receipt or Appropriation Balances Previously Precluded From Obligation,E,D/C,,,C,,,,,,X,,U,X/K/N,ET,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1702,415800,Authority Made Available From Offsetting Collection Balances Previously Precluded From Obligation,E,D/C,,,,,D,,,,X,,U,X/K/N,EC/EG/EM/EP/ER/ES/ET/TR,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1702,415800,Authority Made Available From Offsetting Collection Balances Previously Precluded From Obligation,E,D/C,,,,,D,,,,X,,E,K/N,EG,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1802,415800,Authority Made Available From Offsetting Collection Balances Previously Precluded From Obligation,E,D/C,,,,,M,,,,X,,U,X/K/N,EC/EG/EM/EP/ER/ES/ET/TR,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1151,416000,Anticipated Transfers - Current-Year Authority,E,D/C,,,P,,D,,,,,,U,X/K/N,EC/EG/EM/EP/ER/ES/ET/TR,N,#ERROR!,-,2
52 - Amount of Budget Authority Appropriated,1900,1251,416000,Anticipated Transfers - Current-Year Authority,E,D/C,,,P,,M,,,,,,U,X/K/N,EC/EG/EM/EP/ER/ES/ET/TR,D/G/N,#ERROR!,-,2
52 - Amount of Budget Authority Appropriated,1900,1530,416000,Anticipated Transfers - Current-Year Authority,E,D/C,,,C,,D,,,,,,U,X/K/N,EG/EP/ER/ET,N,#ERROR!,-,2
52 - Amount of Budget Authority Appropriated,1900,1630,416000,Anticipated Transfers - Current-Year Authority,E,D/C,,,C,,M,,,,,,U,X/K/N,EG/EP/ER/ET,N,#ERROR!,-,2
52 - Amount of Budget Authority Appropriated,1900,1741,416000,Anticipated Transfers - Current-Year Authority,E,D/C,,,S,,D,,,,,,U,X/K/N,EC/EG/EM/EP/ER/ES/ET/TR,N,#ERROR!,-,2
52 - Amount of Budget Authority Appropriated,1900,1841,416000,Anticipated Transfers - Current-Year Authority,E,D/C,,,S,,M,,,,,,U,X/K/N,EC/EG/EM/EP/ER/ES/ET/TR,D/G/N,#ERROR!,-,2
52 - Amount of Budget Authority Appropriated,1900,1151,416500,Allocations of Authority - Anticipated From Invested Balances,E,D/C,,,,,D,,,,,,U,X/K/N,EC/EG/EM/EP/ER/ES/ET/TR,N,#ERROR!,-,2
52 - Amount of Budget Authority Appropriated,1900,1251,416500,Allocations of Authority - Anticipated From Invested Balances,E,D/C,,,,,M,,,,,,U,X/K/N,EC/EG/EM/EP/ER/ES/ET/TR,D/G/N,#ERROR!,-,2
52 - Amount of Budget Authority Appropriated,1900,1120,416600,Allocations of Realized Authority - To Be Transferred From Invested Balances,B,C,,,,,D,,F,,X,,U,X/K/N,EG/ES/ET,N,-,#ERROR!,1
52 - Amount of Budget Authority Appropriated,1900,1121,416600,Allocations of Realized Authority - To Be Transferred From Invested Balances,B,D,,,,,D,,F,,X,,U,X/K/N,EG/ES/ET,N,-,#ERROR!,1
52 - Amount of Budget Authority Appropriated,1900,1220,416600,Allocations of Realized Authority - To Be Transferred From Invested Balances,B,C,,,,,M,,F,,X,,U,X/K/N,EP/ES/ET,N,-,#ERROR!,1
52 - Amount of Budget Authority Appropriated,1900,1221,416600,Allocations of Realized Authority - To Be Transferred From Invested Balances,B,D,,,,,M,,F,,X,,U,X/K/N,EP/ES/ET,N,-,#ERROR!,1
52 - Amount of Budget Authority Appropriated,1900,1120,416600,Allocations of Realized Authority - To Be Transferred From Invested Balances,E,C,,,,,D,,F,,X,,U,X/K/N,EG/ES/ET,N,#ERROR!,-,1
52 - Amount of Budget Authority Appropriated,1900,1121,416600,Allocations of Realized Authority - To Be Transferred From Invested Balances,E,D,,,,,D,,F,,X,,U,X/K/N,EG/ES/ET,N,#ERROR!,-,1
52 - Amount of Budget Authority Appropriated,1900,1220,416600,Allocations of Realized Authority - To Be Transferred From Invested Balances,E,C,,,,,M,,F,,X,,U,X/K/N,EP/ES/ET,N,#ERROR!,-,1
52 - Amount of Budget Authority Appropriated,1900,1221,416600,Allocations of Realized Authority - To Be Transferred From Invested Balances,E,D,,,,,M,,F,,X,,U,X/K/N,EP/ES/ET,N,#ERROR!,-,1
52 - Amount of Budget Authority Appropriated,1900,1120,416700,Allocations of Realized Authority - Transferred From Invested Balances,E,C,,,,,D,,F,,X,,U/E,X/K/N,EC/EG/EM/EP/ER/ES/ET/TR,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1121,416700,Allocations of Realized Authority - Transferred From Invested Balances,E,D,,,,,D,,F,,X,,U/E,X/K/N,EC/EG/EM/EP/ER/ES/ET/TR,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1220,416700,Allocations of Realized Authority - Transferred From Invested Balances,E,C,,,,,M,,F,,X,,U/E,X/K/N,EC/EG/EM/EP/ER/ES/ET/TR,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1221,416700,Allocations of Realized Authority - Transferred From Invested Balances,E,D,,,,,M,,F,,X,,U/E,X/K/N,EC/EG/EM/EP/ER/ES/ET/TR,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1120,416800,Allocations of Realized Authority Reclassified - Authority To Be Transferred From Invested Balances - Temporary Reduction,E,C,,,,,D,,F,,X,,U,X/K/N,EC/EG/EM/EP/ER/ES/ET/TR,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1121,416800,Allocations of Realized Authority Reclassified - Authority To Be Transferred From Invested Balances - Temporary Reduction,E,D,,,,,D,,F,,X,,U,X/K/N,EC/EG/EM/EP/ER/ES/ET/TR,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1220,416800,Allocations of Realized Authority Reclassified - Authority To Be Transferred From Invested Balances - Temporary Reduction,E,C,,,,,M,,F,,X,,U,X/K/N,EC/EG/EM/EP/ER/ES/ET/TR,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1221,416800,Allocations of Realized Authority Reclassified - Authority To Be Transferred From Invested Balances - Temporary Reduction,E,D,,,,,M,,F,,X,,U,X/K/N,EC/EG/EM/EP/ER/ES/ET/TR,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1120,417000,Transfers - Current-Year Authority,E,C,,,P,,D,,F,,X,,U,X/K/N,EC/EG/EM/EP/ER/ES/ET/TR,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1121,417000,Transfers - Current-Year Authority,E,D,,,P,,D,,F,,X,,U,X/K/N,EC/EG/EM/EP/ER/ES/ET/TR,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1220,417000,Transfers - Current-Year Authority,E,C,,,P,,M,,F,,X,,U,X/K/N,EC/EG/EM/EP/ER/ES/ET/TR,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1221,417000,Transfers - Current-Year Authority,E,D,,,P,,M,,F,,X,,U,X/K/N,EC/EG/EM/EP/ER/ES/ET/TR,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1710,417000,Transfers - Current-Year Authority,E,C,,,S,,D,,F,,X,,U,X/K/N,EC/EG/EM/EP/ER/ES/ET/TR,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1711,417000,Transfers - Current-Year Authority,E,D,,,S,,D,,F,,X,,U,X/K/N,EC/EG/EM/EP/ER/ES/ET/TR,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1810,417000,Transfers - Current-Year Authority,E,C,,,S,,M,,F,,X,,U,X/K/N,EC/EG/EM/EP/ER/ES/ET/TR,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1810,417000,Transfers - Current-Year Authority,E,C,,,S,,M,,F,,X,,U,K/N,EP,G,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1811,417000,Transfers - Current-Year Authority,E,D,,,S,,M,,F,,X,,U,X/K/N,EC/EG/EM/EP/ER/ES/ET/TR,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1811,417000,Transfers - Current-Year Authority,E,D,,,S,,M,,F,,X,,U,K/N,EP,G,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1121,417100,Nonallocation Transfers of Invested Balances - Receivable,B,D,,,,,D,,,,X,XXX,U/E,X/K/N,ES/ET,N,-,#ERROR!,1
52 - Amount of Budget Authority Appropriated,1900,1203,417100,Nonallocation Transfers of Invested Balances - Receivable,B,D,,,,,M,,,,X,SEQ,U/E,X/K/N,ES/ET,N,-,#ERROR!,1
52 - Amount of Budget Authority Appropriated,1900,1221,417100,Nonallocation Transfers of Invested Balances - Receivable,B,D,,,,,M,,,,X,XXX,U/E,X/K/N,ES/ET,N,-,#ERROR!,1
52 - Amount of Budget Authority Appropriated,1900,1711,417100,Nonallocation Transfers of Invested Balances - Receivable,B,D,,,,,D,,,,X,XXX,U/E,X/K/N,EG,N,-,#ERROR!,1
52 - Amount of Budget Authority Appropriated,1900,1121,417100,Nonallocation Transfers of Invested Balances - Receivable,E,D,,,,,D,,,,X,XXX,U/E,X/K/N,ES/ET,N,#ERROR!,-,1
52 - Amount of Budget Authority Appropriated,1900,1203,417100,Nonallocation Transfers of Invested Balances - Receivable,E,D,,,,,M,,,,X,SEQ,U/E,X/K/N,ES/ET,N,#ERROR!,-,1
52 - Amount of Budget Authority Appropriated,1900,1221,417100,Nonallocation Transfers of Invested Balances - Receivable,E,D,,,,,M,,,,X,XXX,U/E,X/K/N,ES/ET,N,#ERROR!,-,1
52 - Amount of Budget Authority Appropriated,1900,1711,417100,Nonallocation Transfers of Invested Balances - Receivable,E,D,,,,,D,,,,X,XXX,U/E,X/K/N,EG,N,#ERROR!,-,1
52 - Amount of Budget Authority Appropriated,1900,1120,417200,Nonallocation Transfers of Invested Balances - Payable,B,C,,,,,D,,,,X,XXX,U,X/K/N,ES/ET,N,-,#ERROR!,1
52 - Amount of Budget Authority Appropriated,1900,1203,417200,Nonallocation Transfers of Invested Balances - Payable,B,C,,,,,M,,,,X,SEQ,U,X/K/N,ES/ET,N,-,#ERROR!,1
52 - Amount of Budget Authority Appropriated,1900,1220,417200,Nonallocation Transfers of Invested Balances - Payable,B,C,,,,,M,,,,X,XXX,U,X/K/N,ES/ET,N,-,#ERROR!,1
52 - Amount of Budget Authority Appropriated,1900,1810,417200,Nonallocation Transfers of Invested Balances - Payable,B,C,,,,,M,,,,X,XXX,U,X/K/N,EP,N,-,#ERROR!,1
52 - Amount of Budget Authority Appropriated,1900,1120,417200,Nonallocation Transfers of Invested Balances - Payable,E,C,,,,,D,,,,X,XXX,U,X/K/N,ES/ET,N,#ERROR!,-,1
52 - Amount of Budget Authority Appropriated,1900,1203,417200,Nonallocation Transfers of Invested Balances - Payable,E,C,,,,,M,,,,X,SEQ,U,X/K/N,ES/ET,N,#ERROR!,-,1
52 - Amount of Budget Authority Appropriated,1900,1220,417200,Nonallocation Transfers of Invested Balances - Payable,E,C,,,,,M,,,,X,XXX,U,X/K/N,ES/ET,N,#ERROR!,-,1
52 - Amount of Budget Authority Appropriated,1900,1810,417200,Nonallocation Transfers of Invested Balances - Payable,E,C,,,,,M,,,,X,XXX,U,X/K/N,EP,N,#ERROR!,-,1
52 - Amount of Budget Authority Appropriated,1900,1120,417300,Nonallocation Transfers of Invested Balances - Transferred,E,C,,,,,D,,F,,X,XXX,U/E,X/K/N,ES/ET,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1121,417300,Nonallocation Transfers of Invested Balances - Transferred,E,D,,,,,D,,F,,X,XXX,U/E,X/K/N,ES/ET,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1203,417300,Nonallocation Transfers of Invested Balances - Transferred,E,D/C,,,,,M,,F,,X,SEQ,U/E,X/K/N,ES/ET,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1220,417300,Nonallocation Transfers of Invested Balances - Transferred,E,C,,,,,M,,F,,X,XXX,U/E,X/K/N,ES/ET,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1221,417300,Nonallocation Transfers of Invested Balances - Transferred,E,D,,,,,M,,F,,X,XXX,U/E,X/K/N,ES/ET,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1711,417300,Nonallocation Transfers of Invested Balances - Transferred,E,D,,,,,D,,F,,X,XXX,U/E,X/K/N,EG,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1810,417300,Nonallocation Transfers of Invested Balances - Transferred,E,C,,,,,M,,F,,X,XXX,U/E,X/K/N,EP,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1120,417500,Allocation Transfers of Current-Year Authority for Noninvested Accounts,E,C,,,P,,D,,F,,X,,U,X/K/N,EC/EG/EM/EP/ER/ES/ET/TR,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1121,417500,Allocation Transfers of Current-Year Authority for Noninvested Accounts,E,D,,,P,,D,,F,,X,,U,X/K/N,EC/EG/EM/EP/ER/ES/ET/TR,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1220,417500,Allocation Transfers of Current-Year Authority for Noninvested Accounts,E,C,,,P,,M,,F,,X,,U,X/K/N,EC/EG/EM/EP/ER/ES/ET/TR,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1221,417500,Allocation Transfers of Current-Year Authority for Noninvested Accounts,E,D,,,P,,M,,F,,X,,U,X/K/N,EC/EG/EM/EP/ER/ES/ET/TR,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1710,417500,Allocation Transfers of Current-Year Authority for Noninvested Accounts,E,C,,,S,,D,,F,,X,,U,X/K/N,EC/EG/EM/EP/ER/ES/ET/TR,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1711,417500,Allocation Transfers of Current-Year Authority for Noninvested Accounts,E,D,,,S,,D,,F,,X,,U,X/K/N,EC/EG/EM/EP/ER/ES/ET/TR,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1810,417500,Allocation Transfers of Current-Year Authority for Noninvested Accounts,E,C,,,S,,M,,F,,X,,U,X/K/N,EC/EG/EM/EP/ER/ES/ET/TR,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1811,417500,Allocation Transfers of Current-Year Authority for Noninvested Accounts,E,D,,,S,,M,,F,,X,,U,X/K/N,EC/EG/EM/EP/ER/ES/ET/TR,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1151,418300,Anticipated Balance Transfers - Unobligated Balances - Legislative Change of Purpose,E,D/C,,,P/R,,D,,,,,,U,X/K/N,EC/EG/EM/EP/ER/ES/ET/TR,N,#ERROR!,-,2
52 - Amount of Budget Authority Appropriated,1900,1251,418300,Anticipated Balance Transfers - Unobligated Balances - Legislative Change of Purpose,E,D/C,,,P/R,,M,,,,,,U,X/K/N,EC/EG/EM/EP/ER/ES/ET/TR,D/G/N,#ERROR!,-,2
52 - Amount of Budget Authority Appropriated,1900,1741,418300,Anticipated Balance Transfers - Unobligated Balances - Legislative Change of Purpose,E,D/C,,,S,,D,,,,,,U,X/K/N,EC/EG/EM/EP/ER/ES/ET/TR,N,#ERROR!,-,2
52 - Amount of Budget Authority Appropriated,1900,1841,418300,Anticipated Balance Transfers - Unobligated Balances - Legislative Change of Purpose,E,D/C,,,S,,M,,,,,,U,X/K/N,EC/EG/EM/EP/ER/ES/ET/TR,D/G/N,#ERROR!,-,2
52 - Amount of Budget Authority Appropriated,1900,1120,419300,Balance Transfers - Unobligated Balances - Legislative Change of Purpose,E,C,,,P,,D,,F,,X,,U,X/K/N,EC/EG/EM/EP/ER/ES/ET/TR,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1121,419300,Balance Transfers - Unobligated Balances - Legislative Change of Purpose,E,D,,,P,,D,,F,,X,,U,X/K/N,EC/EG/EM/EP/ER/ES/ET/TR,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1220,419300,Balance Transfers - Unobligated Balances - Legislative Change of Purpose,E,C,,,P,,M,,F,,X,,U,X/K/N,EC/EG/EM/EP/ER/ES/ET/TR,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1221,419300,Balance Transfers - Unobligated Balances - Legislative Change of Purpose,E,D,,,P,,M,,F,,X,,U,X/K/N,EC/EG/EM/EP/ER/ES/ET/TR,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1710,419300,Balance Transfers - Unobligated Balances - Legislative Change of Purpose,E,C,,,S,,D,,F,,X,,U,X/K/N,EC/EG/EM/EP/ER/ES/ET/TR,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1711,419300,Balance Transfers - Unobligated Balances - Legislative Change of Purpose,E,D,,,S,,D,,F,,X,,U,X/K/N,EC/EG/EM/EP/ER/ES/ET/TR,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1810,419300,Balance Transfers - Unobligated Balances - Legislative Change of Purpose,E,C,,,S,,M,,F,,X,,U,X/K/N,EC/EG/EM/EP/ER/ES/ET/TR,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1811,419300,Balance Transfers - Unobligated Balances - Legislative Change of Purpose,E,D,,,S,,M,,F,,X,,U,X/K/N,EC/EG/EM/EP/ER/ES/ET/TR,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1740,421000,Anticipated Reimbursements and Other Income,E,D,D/R,A/B/E,,,D,,,,,,U,X/K/N,EC/EG/EM/EP/ER/ES/ET/TR,N,#ERROR!,-,2
52 - Amount of Budget Authority Appropriated,1900,1840,421000,Anticipated Reimbursements and Other Income,E,D,D/R,A/B/E,,,M,,,,,,U,X/K/N,EC/EG/EM/EP/ER/ES/ET/TR,D/G/N,#ERROR!,-,2
52 - Amount of Budget Authority Appropriated,1900,1700,421200,Liquidation of Deficiency - Offsetting Collections,E,D/C,,,,,D,,E/F/N,,X,,U/E,X/K/N,EC/EG/EM/EP/ER/ES/ET/TR,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1800,421200,Liquidation of Deficiency - Offsetting Collections,E,D/C,,,,,M,,F/N,,X,,U/E,X/K/N,EC/EG/EM/EP/ER/ES/ET/TR,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1740,421500,Anticipated Expenditure Transfers from Trust Funds,E,D,D/R,A/B/E,,,D,,,,,,U,X/K/N,EC/EG/EM/EP/ER/ES/ET/TR,N,#ERROR!,-,2
52 - Amount of Budget Authority Appropriated,1900,1840,421500,Anticipated Expenditure Transfers from Trust Funds,E,D,D/R,A/B/E,,,M,,,,,,U,X/K/N,EC/EG/EM/EP/ER/ES/ET/TR,D/G/N,#ERROR!,-,2
52 - Amount of Budget Authority Appropriated,1900,1701,422100,Unfilled Customer Orders Without Advance,B,D/C,,,,,D,,E/F,,X,,U/E,X/K/N,EC/EG/EM/EP/ER/ES/ET/TR,N,-,#ERROR!,1
52 - Amount of Budget Authority Appropriated,1900,1801,422100,Unfilled Customer Orders Without Advance,B,D/C,,,,,M,,E/F,,X,,U/E,X/K/N,EC/EG/EM/EP/ER/ES/ET/TR,D/G/N,-,#ERROR!,1
52 - Amount of Budget Authority Appropriated,1900,1701,422100,Unfilled Customer Orders Without Advance,E,D/C,,,,,D,,E/F,,X,,U/E,X/K/N,EC/EG/EM/EP/ER/ES/ET/TR,N,#ERROR!,-,1
52 - Amount of Budget Authority Appropriated,1900,1801,422100,Unfilled Customer Orders Without Advance,E,D/C,,,,,M,,E/F,,X,,U/E,X/K/N,EC/EG/EM/EP/ER/ES/ET/TR,D/G/N,#ERROR!,-,1
52 - Amount of Budget Authority Appropriated,1900,1700,422200,Unfilled Customer Orders With Advance,B,D/C,,,,,D,,E/F/N,,X,,U/E,X/K/N,EC/EG/EM/EP/ER/ES/ET/TR,N,-,#ERROR!,1
52 - Amount of Budget Authority Appropriated,1900,1800,422200,Unfilled Customer Orders With Advance,B,D/C,,,,,M,,E/F/N,,X,,U/E,X/K/N,EC/EG/EM/EP/ER/ES/ET/TR,D/G/N,-,#ERROR!,1
52 - Amount of Budget Authority Appropriated,1900,1700,422200,Unfilled Customer Orders With Advance,E,D/C,,,,,D,,E/F/N,,X,,U/E,X/K/N,EC/EG/EM/EP/ER/ES/ET/TR,N,#ERROR!,-,1
52 - Amount of Budget Authority Appropriated,1900,1800,422200,Unfilled Customer Orders With Advance,E,D/C,,,,,M,,E/F/N,,X,,U/E,X/K/N,EC/EG/EM/EP/ER/ES/ET/TR,D/G/N,#ERROR!,-,1
52 - Amount of Budget Authority Appropriated,1900,1701,422500,Expenditure Transfers from Trust Funds - Receivable,B,D/C,,,,,D,,,,X,,U/E,X/K/N,EC/EG/EM/EP/ER/ES/ET/TR,N,-,#ERROR!,1
52 - Amount of Budget Authority Appropriated,1900,1801,422500,Expenditure Transfers from Trust Funds - Receivable,B,D/C,,,,,M,,,,X,,U/E,X/K/N,EC/EG/EM/EP/ER/ES/ET/TR,D/G/N,-,#ERROR!,1
52 - Amount of Budget Authority Appropriated,1900,1701,422500,Expenditure Transfers from Trust Funds - Receivable,E,D/C,,,,,D,,,,X,,U/E,X/K/N,EC/EG/EM/EP/ER/ES/ET/TR,N,#ERROR!,-,1
52 - Amount of Budget Authority Appropriated,1900,1801,422500,Expenditure Transfers from Trust Funds - Receivable,E,D/C,,,,,M,,,,X,,U/E,X/K/N,EC/EG/EM/EP/ER/ES/ET/TR,D/G/N,#ERROR!,-,1
52 - Amount of Budget Authority Appropriated,1900,1701,425100,Reimbursements and Other Income Earned - Receivable,B,D/C,,,,,D,,E/F,,X,,U/E,X/K/N,EC/EG/EM/EP/ER/ES/ET/TR,N,-,#ERROR!,1
52 - Amount of Budget Authority Appropriated,1900,1801,425100,Reimbursements and Other Income Earned - Receivable,B,D/C,,,,,M,,E/F,,X,,U/E,X/K/N,EC/EG/EM/EP/ER/ES/ET/TR,D/G/N,-,#ERROR!,1
52 - Amount of Budget Authority Appropriated,1900,1701,425100,Reimbursements and Other Income Earned - Receivable,E,D/C,,,,,D,,E/F,,X,,U/E,X/K/N,EC/EG/EM/EP/ER/ES/ET/TR,N,#ERROR!,-,1
52 - Amount of Budget Authority Appropriated,1900,1801,425100,Reimbursements and Other Income Earned - Receivable,E,D/C,,,,,M,,E/F,,X,,U/E,X/K/N,EC/EG/EM/EP/ER/ES/ET/TR,D/G/N,#ERROR!,-,1
52 - Amount of Budget Authority Appropriated,1900,1700,425200,Reimbursements and Other Income Earned - Collected,E,D/C,,,,,D,,E/F/N,,X,,U/E,X/K/N,EC/EG/EM/EP/ER/ES/ET/TR,N,#ERROR!,-,
52 - Amount of Budget Authority Appropriated,1900,1800,425200,Reimbursements and Other Income Earned - Collected,E,D/C,,,,,M,,E/F/N,,X,,U/E,X/K/N,EC/EG/EM/EP/ER/ES/ET/TR,D/G/N,#ERROR!,-,
